Time;Message_ID;From_Node;To_Node;Hop_Count;Remaining_TTL;Msg_Size;Final_Dest
1144.00;HAG_MSG6;1;25;3;1439;475868;14
1144.00;HAG_MSG6;2;38;2;1439;475868;14
1144.00;HAG_MSG6;10;17;4;1439;475868;14
1144.00;HAG_MSG6;6;27;5;1439;475868;14
1144.00;HAG_MSG6;4;35;2;1439;475868;14
1144.00;HAG_MSG6;5;20;3;1439;475868;14
1144.00;HAG_MSG6;40;16;4;1439;475868;14
1144.00;HAG_MSG6;32;18;2;1439;475868;14
1145.00;HAG_MSG6;31;23;1;1439;475868;14
1145.00;HAG_MSG6;26;19;4;1439;475868;14
1145.00;HAG_MSG6;15;24;2;1439;475868;14
1145.00;HAG_MSG6;0;28;3;1439;475868;14
1145.00;HAG_MSG6;3;22;3;1439;475868;14
1145.00;HAG_MSG6;9;36;4;1439;475868;14
1145.00;HAG_MSG6;7;37;3;1439;475868;14
1145.00;HAG_MSG6;8;21;3;1439;475868;14
1146.00;HAG_MSG6;2;29;2;1439;475868;14
1146.00;HAG_MSG6;13;39;2;1439;475868;14
1146.00;HAG_MSG6;1;34;3;1439;475868;14
1146.00;HAG_MSG6;6;33;5;1439;475868;14
1146.00;HAG_MSG6;10;30;4;1439;475868;14
1409.00;HAG_MSG7;4;27;1;1439;442435;27
1411.00;HAG_MSG7;4;15;1;1439;442435;27
1413.00;HAG_MSG7;4;32;1;1439;442435;27
1414.00;HAG_MSG7;15;0;2;1439;442435;27
1415.00;HAG_MSG7;32;1;2;1439;442435;27
1415.00;HAG_MSG7;4;31;1;1439;442435;27
1416.00;HAG_MSG7;15;2;2;1439;442435;27
1417.00;HAG_MSG7;0;10;3;1439;442435;27
1417.00;HAG_MSG7;32;3;2;1439;442435;27
1417.00;HAG_MSG7;4;40;1;1439;442435;27
1417.00;HAG_MSG7;1;8;3;1439;442435;27
1418.00;HAG_MSG7;15;6;2;1439;442435;27
1418.00;HAG_MSG7;31;5;2;1439;442435;27
1419.00;HAG_MSG7;10;12;4;1439;442435;27
1419.00;HAG_MSG7;0;7;3;1439;442435;27
1419.00;HAG_MSG7;3;11;3;1439;442435;27
1419.00;HAG_MSG7;2;26;3;1439;442435;27
1419.00;HAG_MSG7;8;13;4;1439;442435;27
1419.00;HAG_MSG7;4;35;1;1439;442435;27
1419.00;HAG_MSG7;1;25;3;1439;442435;27
1419.00;HAG_MSG7;32;9;2;1439;442435;27
1420.00;HAG_MSG7;31;17;2;1439;442435;27
1420.00;HAG_MSG7;6;38;3;1439;442435;27
1420.00;HAG_MSG7;40;16;2;1439;442435;27
1420.00;HAG_MSG7;15;14;2;1439;442435;27
1420.00;HAG_MSG7;5;20;3;1439;442435;27
1421.00;HAG_MSG7;35;24;2;1439;442435;27
1421.00;HAG_MSG7;11;22;4;1439;442435;27
1421.00;HAG_MSG7;4;34;1;1439;442435;27
1421.00;HAG_MSG7;2;37;3;1439;442435;27
1421.00;HAG_MSG7;12;36;5;1439;442435;27
1421.00;HAG_MSG7;32;28;2;1439;442435;27
1421.00;HAG_MSG7;7;39;4;1439;442435;27
1421.00;HAG_MSG7;10;18;4;1439;442435;27
1421.00;HAG_MSG7;1;29;3;1439;442435;27
1421.00;HAG_MSG7;3;21;3;1439;442435;27
1421.00;HAG_MSG7;8;23;4;1439;442435;27
1421.00;HAG_MSG7;0;19;3;1439;442435;27
1422.00;HAG_MSG7;31;30;2;1439;442435;27
1422.00;HAG_MSG7;6;33;3;1439;442435;27
1526.00;HAG_MSG8;28;19;1;1439;145411;19
1527.00;HAG_MSG8;28;15;1;1439;145411;19
1528.00;HAG_MSG8;15;0;2;1439;145411;19
1528.00;HAG_MSG8;28;32;1;1439;145411;19
1529.00;HAG_MSG8;15;1;2;1439;145411;19
1529.00;HAG_MSG8;0;10;3;1439;145411;19
1529.00;HAG_MSG8;28;31;1;1439;145411;19
1530.00;HAG_MSG8;28;26;1;1439;145411;19
1530.00;HAG_MSG8;15;2;2;1439;145411;19
1530.00;HAG_MSG8;32;3;2;1439;145411;19
1530.00;HAG_MSG8;0;8;3;1439;145411;19
1530.00;HAG_MSG8;1;40;3;1439;145411;19
1531.00;HAG_MSG8;31;5;2;1439;145411;19
1531.00;HAG_MSG8;32;6;2;1439;145411;19
1531.00;HAG_MSG8;1;25;3;1439;145411;19
1531.00;HAG_MSG8;10;7;4;1439;145411;19
1531.00;HAG_MSG8;0;9;3;1439;145411;19
1531.00;HAG_MSG8;15;4;2;1439;145411;19
1531.00;HAG_MSG8;28;35;1;1439;145411;19
1532.00;HAG_MSG8;2;37;3;1439;145411;19
1532.00;HAG_MSG8;6;34;3;1439;145411;19
1532.00;HAG_MSG8;1;27;3;1439;145411;19
1532.00;HAG_MSG8;28;36;1;1439;145411;19
1532.00;HAG_MSG8;0;17;3;1439;145411;19
1532.00;HAG_MSG8;7;38;5;1439;145411;19
1532.00;HAG_MSG8;40;14;4;1439;145411;19
1532.00;HAG_MSG8;15;18;2;1439;145411;19
1532.00;HAG_MSG8;10;16;4;1439;145411;19
1532.00;HAG_MSG8;5;20;3;1439;145411;19
1532.00;HAG_MSG8;35;22;2;1439;145411;19
1532.00;HAG_MSG8;3;13;3;1439;145411;19
1532.00;HAG_MSG8;26;21;2;1439;145411;19
1532.00;HAG_MSG8;32;12;2;1439;145411;19
1532.00;HAG_MSG8;31;11;2;1439;145411;19
1532.00;HAG_MSG8;8;23;4;1439;145411;19
1533.00;HAG_MSG8;4;33;3;1439;145411;19
1533.00;HAG_MSG8;6;29;3;1439;145411;19
1533.00;HAG_MSG8;2;24;3;1439;145411;19
1533.00;HAG_MSG8;1;39;3;1439;145411;19
1533.00;HAG_MSG8;37;30;4;1439;145411;19
1797.00;HAG_MSG9;13;24;1;1439;459126;24
1799.00;HAG_MSG9;13;15;1;1439;459126;24
1801.00;HAG_MSG9;13;32;1;1439;459126;24
1802.00;HAG_MSG9;15;0;2;1439;459126;24
1803.00;HAG_MSG9;13;31;1;1439;459126;24
1803.00;HAG_MSG9;32;1;2;1439;459126;24
1804.00;HAG_MSG9;15;2;2;1439;459126;24
1804.00;HAG_MSG9;0;10;3;1439;459126;24
1805.00;HAG_MSG9;32;3;2;1439;459126;24
1805.00;HAG_MSG9;13;40;1;1439;459126;24
1806.00;HAG_MSG9;1;8;3;1439;459126;24
1806.00;HAG_MSG9;10;6;4;1439;459126;24
1806.00;HAG_MSG9;0;26;3;1439;459126;24
1806.00;HAG_MSG9;31;5;2;1439;459126;24
1806.00;HAG_MSG9;15;4;2;1439;459126;24
1807.00;HAG_MSG9;32;7;2;1439;459126;24
1807.00;HAG_MSG9;3;9;3;1439;459126;24
1807.00;HAG_MSG9;2;35;3;1439;459126;24
1807.00;HAG_MSG9;13;25;1;1439;459126;24
1808.00;HAG_MSG9;10;11;4;1439;459126;24
1808.00;HAG_MSG9;0;12;3;1439;459126;24
1808.00;HAG_MSG9;8;16;4;1439;459126;24
1808.00;HAG_MSG9;6;27;5;1439;459126;24
1808.00;HAG_MSG9;1;20;3;1439;459126;24
1808.00;HAG_MSG9;31;14;2;1439;459126;24
1808.00;HAG_MSG9;40;17;2;1439;459126;24
1808.00;HAG_MSG9;15;18;2;1439;459126;24
1809.00;HAG_MSG9;32;19;2;1439;459126;24
1809.00;HAG_MSG9;5;38;3;1439;459126;24
1809.00;HAG_MSG9;4;37;3;1439;459126;24
1809.00;HAG_MSG9;13;34;1;1439;459126;24
1809.00;HAG_MSG9;2;36;3;1439;459126;24
1809.00;HAG_MSG9;26;22;4;1439;459126;24
1809.00;HAG_MSG9;3;21;3;1439;459126;24
1810.00;HAG_MSG9;9;33;4;1439;459126;24
1810.00;HAG_MSG9;8;30;4;1439;459126;24
1810.00;HAG_MSG9;10;23;4;1439;459126;24
1810.00;HAG_MSG9;0;29;3;1439;459126;24
1810.00;HAG_MSG9;25;28;2;1439;459126;24
1810.00;HAG_MSG9;6;39;5;1439;459126;24
2076.00;HAG_MSG10;25;6;1;1439;282740;6
2078.00;HAG_MSG10;25;15;1;1439;282740;6
2080.00;HAG_MSG10;25;32;1;1439;282740;6
2081.00;HAG_MSG10;15;0;2;1439;282740;6
2082.00;HAG_MSG10;25;31;1;1439;282740;6
2083.00;HAG_MSG10;32;1;2;1439;282740;6
2083.00;HAG_MSG10;15;2;2;1439;282740;6
2084.00;HAG_MSG10;25;40;1;1439;282740;6
2084.00;HAG_MSG10;0;10;3;1439;282740;6
2085.00;HAG_MSG10;1;8;3;1439;282740;6
2085.00;HAG_MSG10;15;5;2;1439;282740;6
2085.00;HAG_MSG10;32;3;2;1439;282740;6
2085.00;HAG_MSG10;2;26;3;1439;282740;6
2085.00;HAG_MSG10;31;4;2;1439;282740;6
2086.00;HAG_MSG10;0;9;3;1439;282740;6
2086.00;HAG_MSG10;40;7;2;1439;282740;6
2086.00;HAG_MSG10;25;35;1;1439;282740;6
2087.00;HAG_MSG10;10;16;4;1439;282740;6
2087.00;HAG_MSG10;15;11;2;1439;282740;6
2087.00;HAG_MSG10;3;13;3;1439;282740;6
2087.00;HAG_MSG10;5;38;3;1439;282740;6
2087.00;HAG_MSG10;2;27;3;1439;282740;6
2087.00;HAG_MSG10;8;14;4;1439;282740;6
2087.00;HAG_MSG10;1;20;3;1439;282740;6
2087.00;HAG_MSG10;32;12;2;1439;282740;6
2087.00;HAG_MSG10;31;17;2;1439;282740;6
2088.00;HAG_MSG10;25;22;1;1439;282740;6
2088.00;HAG_MSG10;4;37;3;1439;282740;6
2088.00;HAG_MSG10;0;18;3;1439;282740;6
2088.00;HAG_MSG10;40;21;2;1439;282740;6
2088.00;HAG_MSG10;9;36;4;1439;282740;6
2088.00;HAG_MSG10;26;19;4;1439;282740;6
2089.00;HAG_MSG10;10;23;4;1439;282740;6
2089.00;HAG_MSG10;15;24;2;1439;282740;6
2089.00;HAG_MSG10;2;33;3;1439;282740;6
2089.00;HAG_MSG10;16;29;5;1439;282740;6
2089.00;HAG_MSG10;5;30;3;1439;282740;6
2089.00;HAG_MSG10;35;39;2;1439;282740;6
2089.00;HAG_MSG10;7;34;3;1439;282740;6
2089.00;HAG_MSG10;3;28;3;1439;282740;6
2305.00;HAG_MSG11;30;16;1;1439;470905;16
2307.00;HAG_MSG11;30;15;1;1439;470905;16
2309.00;HAG_MSG11;30;32;1;1439;470905;16
2310.00;HAG_MSG11;15;0;2;1439;470905;16
2311.00;HAG_MSG11;30;31;1;1439;470905;16
2311.00;HAG_MSG11;32;1;2;1439;470905;16
2312.00;HAG_MSG11;0;10;3;1439;470905;16
2312.00;HAG_MSG11;15;2;2;1439;470905;16
2313.00;HAG_MSG11;30;40;1;1439;470905;16
2313.00;HAG_MSG11;1;8;3;1439;470905;16
2313.00;HAG_MSG11;32;3;2;1439;470905;16
2314.00;HAG_MSG11;2;35;3;1439;470905;16
2314.00;HAG_MSG11;15;5;2;1439;470905;16
2314.00;HAG_MSG11;10;6;4;1439;470905;16
2314.00;HAG_MSG11;31;4;2;1439;470905;16
2314.00;HAG_MSG11;0;26;3;1439;470905;16
2315.00;HAG_MSG11;30;25;1;1439;470905;16
2315.00;HAG_MSG11;1;20;3;1439;470905;16
2315.00;HAG_MSG11;32;7;2;1439;470905;16
2316.00;HAG_MSG11;40;19;2;1439;470905;16
2316.00;HAG_MSG11;15;9;2;1439;470905;16
2316.00;HAG_MSG11;10;11;4;1439;470905;16
2316.00;HAG_MSG11;8;14;4;1439;470905;16
2316.00;HAG_MSG11;5;38;3;1439;470905;16
2316.00;HAG_MSG11;6;36;5;1439;470905;16
2316.00;HAG_MSG11;31;12;2;1439;470905;16
2316.00;HAG_MSG11;0;17;3;1439;470905;16
2316.00;HAG_MSG11;3;13;3;1439;470905;16
2316.00;HAG_MSG11;2;27;3;1439;470905;16
2316.00;HAG_MSG11;4;37;3;1439;470905;16
2316.00;HAG_MSG11;35;18;4;1439;470905;16
2317.00;HAG_MSG11;20;21;4;1439;470905;16
2317.00;HAG_MSG11;1;29;3;1439;470905;16
2317.00;HAG_MSG11;26;24;4;1439;470905;16
2317.00;HAG_MSG11;32;23;2;1439;470905;16
2317.00;HAG_MSG11;30;34;1;1439;470905;16
2317.00;HAG_MSG11;25;22;2;1439;470905;16
2318.00;HAG_MSG11;15;33;2;1439;470905;16
2318.00;HAG_MSG11;10;39;4;1439;470905;16
2318.00;HAG_MSG11;40;28;2;1439;470905;16
2533.00;HAG_MSG12;11;31;1;1439;235637;31
2534.00;HAG_MSG12;11;15;1;1439;235637;31
2535.00;HAG_MSG12;11;32;1;1439;235637;31
2535.00;HAG_MSG12;15;0;2;1439;235637;31
2536.00;HAG_MSG12;15;1;2;1439;235637;31
2536.00;HAG_MSG12;32;2;2;1439;235637;31
2536.00;HAG_MSG12;11;10;1;1439;235637;31
2536.00;HAG_MSG12;0;40;3;1439;235637;31
2537.00;HAG_MSG12;0;26;3;1439;235637;31
2537.00;HAG_MSG12;10;5;2;1439;235637;31
2537.00;HAG_MSG12;32;4;2;1439;235637;31
2537.00;HAG_MSG12;15;3;2;1439;235637;31
2537.00;HAG_MSG12;1;35;3;1439;235637;31
2537.00;HAG_MSG12;11;8;1;1439;235637;31
2538.00;HAG_MSG12;32;9;2;1439;235637;31
2538.00;HAG_MSG12;15;12;2;1439;235637;31
2538.00;HAG_MSG12;1;20;3;1439;235637;31
2538.00;HAG_MSG12;3;16;3;1439;235637;31
2538.00;HAG_MSG12;26;13;4;1439;235637;31
2538.00;HAG_MSG12;2;38;3;1439;235637;31
2538.00;HAG_MSG12;40;14;4;1439;235637;31
2538.00;HAG_MSG12;10;7;2;1439;235637;31
2538.00;HAG_MSG12;11;27;1;1439;235637;31
2538.00;HAG_MSG12;4;25;3;1439;235637;31
2538.00;HAG_MSG12;0;6;3;1439;235637;31
2539.00;HAG_MSG12;20;30;4;1439;235637;31
2539.00;HAG_MSG12;9;34;3;1439;235637;31
2539.00;HAG_MSG12;3;21;3;1439;235637;31
2539.00;HAG_MSG12;8;33;2;1439;235637;31
2539.00;HAG_MSG12;26;22;4;1439;235637;31
2539.00;HAG_MSG12;15;19;2;1439;235637;31
2539.00;HAG_MSG12;4;39;3;1439;235637;31
2539.00;HAG_MSG12;10;28;2;1439;235637;31
2539.00;HAG_MSG12;1;36;3;1439;235637;31
2539.00;HAG_MSG12;35;17;4;1439;235637;31
2539.00;HAG_MSG12;32;18;2;1439;235637;31
2539.00;HAG_MSG12;11;29;1;1439;235637;31
2539.00;HAG_MSG12;2;23;3;1439;235637;31
2539.00;HAG_MSG12;40;24;4;1439;235637;31
2539.00;HAG_MSG12;5;37;3;1439;235637;31
2718.00;HAG_MSG13;25;29;1;1439;120625;29
2719.00;HAG_MSG13;25;15;1;1439;120625;29
2720.00;HAG_MSG13;25;32;1;1439;120625;29
2720.00;HAG_MSG13;15;0;2;1439;120625;29
2721.00;HAG_MSG13;32;2;2;1439;120625;29
2721.00;HAG_MSG13;15;1;2;1439;120625;29
2721.00;HAG_MSG13;25;31;1;1439;120625;29
2722.00;HAG_MSG13;0;10;3;1439;120625;29
2722.00;HAG_MSG13;32;3;2;1439;120625;29
2722.00;HAG_MSG13;2;40;3;1439;120625;29
2722.00;HAG_MSG13;15;4;2;1439;120625;29
2722.00;HAG_MSG13;25;8;1;1439;120625;29
2723.00;HAG_MSG13;10;6;4;1439;120625;29
2723.00;HAG_MSG13;32;5;2;1439;120625;29
2723.00;HAG_MSG13;0;26;3;1439;120625;29
2723.00;HAG_MSG13;2;35;3;1439;120625;29
2723.00;HAG_MSG13;31;9;2;1439;120625;29
2723.00;HAG_MSG13;25;11;1;1439;120625;29
2723.00;HAG_MSG13;40;12;4;1439;120625;29
2723.00;HAG_MSG13;1;20;3;1439;120625;29
2723.00;HAG_MSG13;8;13;2;1439;120625;29
